10,30,50,100,150,200,300
0,1.36,1.51,2.68,3.52,3.87,5.12,11.8
-1,1.29,1.41,1.92,2.54,2.77,2.94,2.73
-2,1.26,1.37,1.82,2.31,2.55,2.62,2.36
-3,1.23,1.33,1.76,2.31,2.55,2.59,2.17
-4,1.2,1.29,1.71,2.32,2.55,2.57,2.06
